"Clave","Tipo","Resumen","Estado","Prioridad","Epic","Epic summary","Clave padre","Resumen padre","Sprint","Creador","Informador","Asignado","Creada","Actualizada","Fecha de vencimiento","Fecha de inicio","Story points","Votos","Clasificación","Color de la incidencia","Categoría de estado","Categoría de estado cambiada","Descripción"
"SGS-45","Sub-task","Implementar captura de cámara y subida de imágenes","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-43","HU-02.02 Registrar Prenda y Capturar Fotografías","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:42","18/08/2026 10:42","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000an:","","Por hacer","18/ago/26 10:42 AM","Integrar input capture (camera) y selector de archivos para móvil/PC. Mostrar miniaturas con vista previa, permitir eliminación y reemplazo antes de enviar. No almacenar imágenes en localStorage como fuente principal. Validar extensión MIME, tamaño máximo 5MB."
"SGS-46","Sub-task","Implementar almacenamiento de imágenes en servidor","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-43","HU-02.02 Registrar Prenda y Capturar Fotografías","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:43","18/08/2026 10:43","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000av:","","Por hacer","18/ago/26 10:43 AM","Crear endpoint POST /api/upload que reciba archivos, optimice (conversión a WebP/JPEG), genere nombre seguro y almacene en /public/uploads/items/. Guardar ruta en tabla item_photos con FK al item. Validar mínimo de 3 fotografías. Rechazar archivos inválidos con respuesta controlada."
"SGS-47","Task","HU-02.03 Calcular Intereses y Crear Contrato","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:44","18/08/2026 10:44","15/09/2026 00:00","18/08/2026 00:00","3","0","0|i000b3:","","Por hacer","18/ago/26 10:44 AM","*Como* empleado, *quiero* calcular intereses y crear el contrato en el paso 3 del wizard *para* formalizar la operación de empeño."
"SGS-48","Sub-task","Diseñar Paso 3 del Wizard - Contrato","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-47","HU-02.03 Calcular Intereses y Crear Contrato","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:45","18/08/2026 10:45","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000bb:","","Por hacer","18/ago/26 10:45 AM","Crear Paso 3 con campos: monto prestado, plazo (meses), modalidad (Cuotas Mensuales / Pago Único), tasa de interés. Mostrar resumen de capital, interés total, monto total a pagar y fecha de vencimiento. El botón 'Confirmar Contrato' debe ser dorado #D4AF37. Zona de cálculo destacada con fondo claro y borde dorado."
"SGS-49","Sub-task","Implementar cálculo de intereses en servidor","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-47","HU-02.03 Calcular Intereses y Crear Contrato","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:46","18/08/2026 10:46","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000bj:","","Por hacer","18/ago/26 10:46 AM","Usar tabla system_settings para tasa de interés configurable. Validar monto > 0, plazo > 0, tasa permitida. Calcular en servidor usando DECIMAL y reglas deterministas. Para cuotas mensuales: interés compuesto. Para pago único: interés simple. Rechazar valores negativos o manipulados desde cliente. Guardar cálculo en tabla contracts."
"SGS-50","Sub-task","Generar contrato PDF con FPDF/TCPDF","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-47","HU-02.03 Calcular Intereses y Crear Contrato","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:47","18/08/2026 10:47","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000br:","","Por hacer","18/ago/26 10:47 AM","Integrar librería FPDF/TCPDF incluida en el repositorio (compatible con InfinityFree). Generar PDF con: logo de SIGES, datos del cliente, datos de la prenda, monto, intereses, plazo, fechas, condiciones legales, tabla de amortización (si aplica) y código QR generado dinámicamente. Manejar errores de generación sin exponer rutas."
"SGS-51","Task","HU-02.04 Implementar Refrendo y Desempeño","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:48","18/08/2026 10:48","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000bz:","","Por hacer","18/ago/26 10:48 AM","*Como* empleado, *quiero* registrar refrendos (renovación) y desempeños (cancelación) *para* gestionar el ciclo de vida del contrato."
"SGS-52","Sub-task","Implementar lógica de refrendo","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-51","HU-02.04 Implementar Refrendo y Desempeño","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:49","18/08/2026 10:49","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000c7:","","Por hacer","18/ago/26 10:49 AM","Endpoint POST /api/contracts/:id/refrendo: calcular monto de intereses acumulados, registrar pago en tabla payments, extender fecha de vencimiento según plazo seleccionado, actualizar estado del contrato. Ejecutar en transacción. Generar recibo de pago en PDF."
"SGS-53","Sub-task","Implementar lógica de desempeño","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-51","HU-02.04 Implementar Refrendo y Desempeño","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:50","18/08/2026 10:50","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000cf:","","Por hacer","18/ago/26 10:50 AM","Endpoint POST /api/contracts/:id/desempeno: calcular total capital+intereses pendientes, registrar pago en tabla payments, cambiar estado a COMPLETED, liberar prenda del inventario. Validar que no existan deudas pendientes. Ejecutar en transacción. Generar comprobante de cancelación en PDF."
"SGS-54","Sub-task","Diseñar historial del empeño","Por hacer","High","SGS-39","EPIC-02 Gestión de Empeños, Contratos y Pagos","SGS-51","HU-02.04 Implementar Refrendo y Desempeño","Sprint 2","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:51","18/08/2026 10:51","15/09/2026 00:00","18/08/2026 00:00","0","0","0|i000cn:","","Por hacer","18/ago/26 10:51 AM","Crear vista de detalles del contrato con: datos del cliente, datos de la prenda, condiciones financieras, tabla de pagos realizados, historial de refrendos, estado actual (badge verde #198754 para ACTIVO, amarillo #FFC107 para PRÓXIMO A VENCER, rojo #DC3545 para VENCIDO). Botones de acción: 'Refrendar' (dorado), 'Desempeñar' (verde), 'Descargar PDF' (azul marino) solo cuando el rol y estado lo permitan."
"SGS-55","Epic","EPIC-03 Valuación y Depreciación de Prendas","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas",,,,"Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:52","18/08/2026 10:52","15/09/2026 00:00","18/08/2026 00:00","0","0","0|i000cv:","dark_yellow","Por hacer","18/ago/26 10:52 AM","Módulo encargado de la valuación de prendas con asistente de precios de referencia, depreciación automática para electrónicos y factor de condición."
"SGS-56","Task","HU-03.01 Diseñar Asistente de Valuación","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:53","18/08/2026 10:53","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000d3:","","Por hacer","18/ago/26 10:53 AM","*Como* tasador o empleado, *quiero* utilizar un asistente de valuación *para* determinar el valor de mercado de la prenda."
"SGS-57","Sub-task","Diseñar panel del asistente de valuación","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-56","HU-03.01 Diseñar Asistente de Valuación","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:54","18/08/2026 10:54","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000db:","","Por hacer","18/ago/26 10:54 AM","Crear panel por pasos: categoría (dropdown), producto (text), antigüedad (años), condición (Excelente/Bueno/Regular/Malo), referencias de mercado (lista). Resumen de valor estimado en una tarjeta con encabezado azul marino #0B192C y resultado destacado en dorado #D4AF37."
"SGS-58","Task","HU-03.02 Implementar Depreciación y Factor de Condición","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:55","18/08/2026 10:55","15/09/2026 00:00","18/08/2026 00:00","3","0","0|i000dj:","","Por hacer","18/ago/26 10:55 AM","*Como* sistema, *quiero* aplicar depreciación automática y factor de condición *para* calcular el valor ajustado de la prenda."
"SGS-59","Sub-task","Crear tabla de referencias de mercado","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-58","HU-03.02 Implementar Depreciación y Factor de Condición","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:56","18/08/2026 10:56","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000dr:","","Por hacer","18/ago/26 10:56 AM","Crear tabla market_price_references (id, category, product, reference_price, source, reference_date, created_at). Validar precios positivos, fechas y unicidad razonable. Permitir actualización solo a OWNER/EMPLOYEE autorizado. Llenar con datos de referencia de mercado."
"SGS-60","Sub-task","Implementar depreciación electrónica","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-58","HU-03.02 Implementar Depreciación y Factor de Condición","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:57","18/08/2026 10:57","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000dz:","","Por hacer","18/ago/26 10:57 AM","Aplicar fórmula configurada por antigüedad y categoría electrónica: Joyería (10-15% anual), Electrónica (30-40% anual), Vehículos (20-25% anual). Registrar precio base, porcentaje aplicado, valor depreciado y valor final en tabla appraisals. No recalcular históricamente con parámetros nuevos."
"SGS-61","Sub-task","Implementar factor de condición","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-58","HU-03.02 Implementar Depreciación y Factor de Condición","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:58","18/08/2026 10:58","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000e7:","","Por hacer","18/ago/26 10:58 AM","Definir factores: Excelente (1.0), Bueno (0.8), Regular (0.6), Malo (0.4). Validar estado permitido y aplicar factor en servidor sobre el valor base/depreciado. Guardar en tabla appraisals junto con el valor final y condición seleccionada."
"SGS-62","Task","HU-03.03 Integrar Valuación al Empeño","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:59","18/08/2026 10:59","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000ef:","","Por hacer","18/ago/26 10:59 AM","*Como* empleado, *quiero* integrar la valuación al proceso de empeño *para* registrar el valor estimado de la prenda."
"SGS-63","Sub-task","Guardar valuación asociada al empeño","Por hacer","High","SGS-55","EPIC-03 Valuación y Depreciación de Prendas","SGS-62","HU-03.03 Integrar Valuación al Empeño","Sprint 3","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:00","18/08/2026 11:00","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000en:","","Por hacer","18/ago/26 11:00 AM","Guardar appraisal asociado a item/contract con: valor de referencia, depreciación aplicada, condición, valor final, fecha de valuación, usuario valuador. Validar que el valor final sea positivo. Solo roles autorizados (EMPLOYEE/OWNER) pueden confirmar la valuación. Mostrar comparación de valores en tarjetas."
"SGS-64","Epic","EPIC-04 Inventario y Trazabilidad de Prendas","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas",,,,"Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:01","18/08/2026 11:01","15/09/2026 00:00","18/08/2026 00:00","0","0","0|i000ev:","orange","Por hacer","18/ago/26 11:01 AM","Módulo encargado de la gestión de ubicaciones físicas de prendas, mapa de almacén, alertas de vencimiento e historial de movimientos."
"SGS-65","Task","HU-04.01 Gestionar Ubicaciones de Almacén","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","Sprint 4","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:02","18/08/2026 11:02","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000f3:","","Por hacer","18/ago/26 11:02 AM","*Como* empleado de almacén, *quiero* asignar y validar ubicaciones físicas de prendas *para* evitar extravíos y mantener el control del inventario."
"SGS-66","Sub-task","Crear tabla warehouse_locations","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","SGS-65","HU-04.01 Gestionar Ubicaciones de Almacén","Sprint 4","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:03","18/08/2026 11:03","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000fb:","","Por hacer","18/ago/26 11:03 AM","Crear tabla warehouse_locations (id, aisle, shelf, level, capacity, status). Validar duplicados de ubicación (aisle + shelf + level) y capacidad positiva. Controlar acceso de escritura según rol (solo EMPLOYEE/OWNER)."
"SGS-67","Sub-task","Implementar asignación de ubicación a prendas","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","SGS-65","HU-04.01 Gestionar Ubicaciones de Almacén","Sprint 4","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:04","18/08/2026 11:04","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000fj:","","Por hacer","18/ago/26 11:04 AM","Endpoint POST /api/inventory/assign: validar que la ubicación esté disponible (no ocupada), que la prenda sea elegible para almacenamiento (contrato activo), y que el usuario tenga permisos. Actualizar estado del inventario dentro de una transacción. Registrar movimiento en inventory_movements."
"SGS-68","Task","HU-04.02 Visualizar Mapa de Almacén","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","Sprint 4","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:05","18/08/2026 11:05","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000fr:","","Por hacer","18/ago/26 11:05 AM","*Como* empleado, *quiero* visualizar la disponibilidad de espacio en almacén *para* optimizar la ubicación de prendas."
"SGS-69","Sub-task","Implementar mapa interactivo del almacén","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","SGS-68","HU-04.02 Visualizar Mapa de Almacén","Sprint 4","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:06","18/08/2026 11:06","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000fz:","","Por hacer","18/ago/26 11:06 AM","Construir representación visual por pasillo/estante/nivel con Bootstrap grid. Celdas ocupadas en rojo #DC3545, libres en verde #198754, con alerta en amarillo #FFC107. Incluir leyenda visible. Al hacer clic en una celda libre, abrir modal para asignar prenda. Al hacer clic en ocupada, mostrar detalle de la prenda."
"SGS-70","Task","HU-04.03 Implementar Alertas de Vencimiento","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","Sprint 4","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:07","18/08/2026 11:07","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000g7:","","Por hacer","18/ago/26 11:07 AM","*Como* sistema, *quiero* alertar sobre prendas próximas a vencer *para* tomar acciones oportunas."
"SGS-71","Sub-task","Implementar detección de vencimientos","Por hacer","High","SGS-64","EPIC-04 Inventario y Trazabilidad de Prendas","SGS-70","HU-04.03 Implementar Alertas de Vencimiento","Sprint 4","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:08","18/08/2026 11:08","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000gf:","","Por hacer","18/ago/26 11:08 AM","Consultar contratos próximos a vencer en 3 días. Generar registros en tabla notifications. Evitar duplicados mediante clave lógica por contrato/fecha/tipo. Manejar fechas en servidor con zona horaria configurada. Crear widget de alertas en vista de inventario, sobre la tabla."
"SGS-72","Epic","EPIC-05 Motor de Subastas en Tiempo Real","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real",,,,"Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:09","18/08/2026 11:09","15/09/2026 00:00","18/08/2026 00:00","0","0","0|i000gn:","purple","Por hacer","18/ago/26 11:09 AM","Módulo encargado de la gestión de subastas de prendas en mora, pujas en tiempo real, compra directa, anti-sniping y liquidación."
"SGS-73","Task","HU-05.01 Gestionar Subastas y Pujas","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:10","18/08/2026 11:10","15/09/2026 00:00","18/08/2026 00:00","3","0","0|i000gv:","","Por hacer","18/ago/26 11:10 AM","*Como* sistema, *quiero* gestionar subastas y pujas de prendas en mora *para* facilitar la venta de objetos impagos."
"SGS-74","Sub-task","Implementar conversión automática a subasta","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-73","HU-05.01 Gestionar Subastas y Pujas","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:11","18/08/2026 11:11","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000h3:","","Por hacer","18/ago/26 11:11 AM","Crear proceso PHP programable por solicitud o tarea compatible con hosting compartido que detecte contratos con 90+ días de impago. Validar estado (VENCIDO), fecha y ausencia de subasta previa antes de crearla. Crear registro en tabla auctions con precio inicial = valor final de valuación."
"SGS-75","Sub-task","Crear tablas auctions y bids","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-73","HU-05.01 Gestionar Subastas y Pujas","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:12","18/08/2026 11:12","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000hb:","","Por hacer","18/ago/26 11:12 AM","Crear tabla auctions (id, contract_id, start_price, current_price, increment_min, end_time, status, created_at). Crear tabla bids (id, auction_id, user_id, amount, created_at). Añadir índices por estado/fecha. Restricciones para mantener integridad: current_price >= start_price, increment_min > 0, status en ('ACTIVE','CLOSED','CANCELLED')."
"SGS-76","Task","HU-05.02 Implementar Sistema de Pujas Seguras","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:13","18/08/2026 11:13","15/09/2026 00:00","18/08/2026 00:00","3","0","0|i000hj:","","Por hacer","18/ago/26 11:13 AM","*Como* cliente, *quiero* hacer pujas en subastas activas *para* competir por prendas."
"SGS-77","Sub-task","Implementar puja segura en servidor","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-76","HU-05.02 Implementar Sistema de Pujas Seguras","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:14","18/08/2026 11:14","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000hr:","","Por hacer","18/ago/26 11:14 AM","Endpoint POST /api/auctions/:id/bid: validar sesión CLIENT, subasta activa, monto > current_price + increment_min, hora de cierre no superada. Usar transacción y bloqueo apropiado para evitar dos pujas aceptadas con precio inconsistente. Actualizar current_price. Registrar en tabla bids. Responder con éxito o error."
"SGS-78","Sub-task","Implementar temporizador frontend","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-76","HU-05.02 Implementar Sistema de Pujas Seguras","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:15","18/08/2026 11:15","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000hz:","","Por hacer","18/ago/26 11:15 AM","Mostrar cuenta regresiva basada en hora de servidor/cierre (no confiar en reloj del cliente). Actualizar mediante setInterval (AJAX polling). Cambiar a estado finalizado cuando corresponda. Mostrar en rojo #DC3545 cuando falten menos de 2 minutos."
"SGS-79","Task","HU-05.03 Implementar Compra Directa y Anti-Sniping","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:16","18/08/2026 11:16","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000i7:","","Por hacer","18/ago/26 11:16 AM","*Como* cliente, *quiero* comprar directamente y el sistema debe evitar pujas de último minuto *para* asegurar una subasta justa."
"SGS-80","Sub-task","Implementar compra directa (+50%)","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-79","HU-05.03 Implementar Compra Directa y Anti-Sniping","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:17","18/08/2026 11:17","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000if:","","Por hacer","18/ago/26 11:17 AM","Calcular precio fijo como base configurada +50% (de la tabla system_settings). Validar que subasta siga activa. Registrar compra en tabla auctions con status='COMPLETED'. Cambiar estado de contrato a 'FINALIZADO'. Registrar venta en tabla settlements. Ejecutar todo en una transacción."
"SGS-81","Sub-task","Implementar anti-sniping","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-79","HU-05.03 Implementar Compra Directa y Anti-Sniping","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:18","18/08/2026 11:18","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000in:","","Por hacer","18/ago/26 11:18 AM","Cuando una puja válida ocurra durante el último minuto, extender el cierre 2 minutos. Registrar extensión en tabla auction_extensions. Evitar extensiones inconsistentes mediante operación transaccional. Mostrar visualmente en frontend la extensión del tiempo."
"SGS-82","Task","HU-05.04 Liquidar Subasta y Distribuir Monto","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:19","18/08/2026 11:19","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000iv:","","Por hacer","18/ago/26 11:19 AM","*Como* sistema, *quiero* liquidar la subasta y distribuir el monto *para* cerrar la operación."
"SGS-83","Sub-task","Implementar liquidación 70/10/20","Por hacer","High","SGS-72","EPIC-05 Motor de Subastas en Tiempo Real","SGS-82","HU-05.04 Liquidar Subasta y Distribuir Monto","Sprint 5","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:20","18/08/2026 11:20","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000j3:","","Por hacer","18/ago/26 11:20 AM","Al finalizar subasta (tiempo expirado o compra directa), calcular monto liquidado. Registrar distribución: 70% para la casa de empeños, 10% para el sistema (comisión), 20% para el cliente (excedente). Validar que porcentajes sumen 100%. Guardar en tabla settlements. Marcar contrato como LIQUIDADO."
"SGS-84","Epic","EPIC-06 Paneles de Control Personalizados","Por hacer","High","SGS-84","EPIC-06 Paneles de Control Personalizados",,,,"Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:21","18/08/2026 11:21","15/09/2026 00:00","18/08/2026 00:00","0","0","0|i000jb:","dark_blue","Por hacer","18/ago/26 11:21 AM","Módulo encargado de los paneles de control personalizados para OWNER, EMPLOYEE y CLIENT con métricas, KPIs y gráficos interactivos."
"SGS-85","Task","HU-06.01 Diseñar Dashboard OWNER","Por hacer","High","SGS-84","EPIC-06 Paneles de Control Personalizados","SGS-84","EPIC-06 Paneles de Control Personalizados","Sprint 6","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:22","18/08/2026 11:22","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000jj:","","Por hacer","18/ago/26 11:22 AM","*Como* dueño, *quiero* ver el dashboard con indicadores globales del negocio *para* tomar decisiones informadas."
"SGS-86","Sub-task","Diseñar dashboard OWNER con KPIs","Por hacer","High","SGS-84","EPIC-06 Paneles de Control Personalizados","SGS-85","HU-06.01 Diseñar Dashboard OWNER","Sprint 6","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:23","18/08/2026 11:23","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000jr:","","Por hacer","18/ago/26 11:23 AM","Crear tarjetas KPI: Capital Invertido, Intereses Generados, Empeños Activos, Subastas Activas, Tasa de Morosidad. Encabezado azul marino #0B192C, números destacados en dorado #D4AF37. Añadir accesos rápidos: Nuevo Empeño, Reportes, Configuración. Diseño responsive para PC/tablet/móvil."
"SGS-87","Sub-task","Implementar consultas KPI en backend","Por hacer","High","SGS-84","EPIC-06 Paneles de Control Personalizados","SGS-85","HU-06.01 Diseñar Dashboard OWNER","Sprint 6","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 11:24","18/08/2026 11:24","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000jz:","","Por hacer","18/ago/26 11:24 AM","Crear consultas SQL agregadas sobre contracts, payments, auctions y settlements. Validar permisos OWNER. Filtrar por fechas cuando corresponda. Devolver valores DECIMAL y conteos sin duplicar relaciones. Ejemplo: SUM(amount) FROM contracts WHERE status='ACTIVE'."
"SGS-88","Task","HU-06.02 Diseñar Dashboard EMPLOYEE","Por hacer","High","SGS-84","EPIC-06 Paneles de Control Personalizados","SGS-84","EPIC-06 Paneles de Control Personalizados","Sprint 6","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:25","18/08/2026 11:25","15/09/2026 00:00","18/08/2026 00:00","2","0","0|i000k7:","","Por hacer","18/ago/26 11:25 AM","*Como* empleado, *quiero* ver mi dashboard con mis tareas pendientes *para* organizar mi trabajo diario."
"SGS-89","Sub-task","Diseñar dashboard EMPLOYEE y endpoints","Por hacer","High","SGS-84","EPIC-06 Paneles de Control Personalizados","SGS-88","HU-06.02 Diseñar Dashboard EMPLOYEE","Sprint 6","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 11:26","18/08/2026 11:26","15/09/2026 00:00","18/08/2026 00:00","1","0","0|i000kf:","","Por hacer","18/ago/26 11:26 AM","Mostrar tareas pendientes, empeños recientes, alertas de vencimiento (amarillo #FFC107), accesos a valuación/inventario/subastas. Tarjetas compactas y acciones principales doradas #D4AF37. Endpoints PHP que devuelvan solo operaciones permitidas para EMPLOYEE filtradas por contexto del negocio."
